plant_id,general_plant_id,threatened_plant_id,common_name,scientific_name,other_name,if_threatened,if_edible,if_indoors,if_medicinal,if_poisonous,if_fruits,if_flowers,sun_expose,watering,plant_cycle,growth_rate
446,446,,hedge maple,Acer campestre 'Evelyn' QUEEN ELIZABETH,,False,False,False,False,False,True,True,"[""full sun"", ""part shade""]",Frequent,Every year,Low
447,447,,hedge maple,Acer campestre 'Postelense',,False,False,False,False,False,True,True,"[""full sun"", ""part shade""]",Average,Every year,Low
448,448,,snakebark maple,Acer capillipes,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
449,449,,cappadocian maple,Acer cappadocicum,,False,False,False,True,False,False,True,"[""full sun"", ""part shade""]",Frequent,Every year,Low
450,450,,hornbeam maple,Acer carpinifolium,,False,False,False,True,False,False,True,"[""full sun"", ""part shade""]",Frequent,Every year,Low
451,451,,ivy-leaved maple,Acer cissifolium,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
452,452,,snakebark maple,Acer conspicuum 'Phoenix',,False,False,False,False,False,False,True,"[""full sun"", ""part sun/part shade""]",Frequent,Every year,Low
453,453,,Freeman maple,Acer freemanii 'Marmo',,False,False,False,False,False,False,True,"[""full sun""]",Average,Every year,Low
454,454,,Freeman maple,Acer freemanii 'Scarsen' SCARLET SENTINEL,,False,False,False,False,False,False,True,"[""full sun""]",Average,Every year,Low
455,455,,full moon maple,Acer japonicum 'O-isami',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Minimum,Every year,Low
456,456,,Montpellier maple,Acer monspessulanum,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
457,457,,Japanese maple,Acer palmatum 'Germaine's Gyration',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
458,458,,Japanese maple,Acer palmatum 'Shishio Improved',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
459,459,,Japanese maple,Acer palmatum var. dissectum 'Inaba-shidare',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
460,460,,red maple,Acer rubrum 'Brandywine',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,High
461,461,,red maple,Acer rubrum 'Columnare',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,High
462,462,,red maple,Acer rubrum 'Franksred' RED SUNSET,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,High
463,463,,red maple,Acer rubrum 'Karpick',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,High
464,464,,red maple,Acer rubrum 'Northwood',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,High
465,465,,red maple,Acer rubrum 'October Glory',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,High
466,466,,silver maple,Acer saccharinum 'Silver Queen',,False,False,False,False,False,True,True,"[""full sun"", ""part sun/part shade""]",Average,Every year,High
467,467,,bigtooth maple,Acer saccharum subsp. grandidentatum,Hard Maple,False,False,False,False,False,True,True,"[""full sun"", ""part sun/part shade""]",Frequent,Every year,Low
468,468,,sugar maple,Acer saccharum 'Sweet Shadow',Hard Maple,False,True,False,False,False,True,True,"[""full sun""]",Frequent,Every year,High
469,469,,Amur maple,Acer tataricum subsp. ginnala 'Mandy' RED RHAPSODY,,False,False,False,False,False,True,True,"[""full sun"", ""part shade""]",Average,Every year,Low
470,470,,shantung maple,Acer truncatum,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
471,471,,yarrow,Achillea 'Anblo' ANTHEA,,False,False,False,True,False,False,True,"[""full sun""]",Average,Herbaceous Perennial,Low
472,472,,yarrow,Achillea 'Apfelblute' APPLEBLOSSOM,,False,False,False,True,False,False,True,"[""full sun""]",Minimum,Herbaceous Perennial,Low
473,473,,Alps yarrow,Achillea distans,,False,False,False,True,False,True,True,"[""full sun"", ""part shade""]",Average,Herbaceous Perennial,Low
474,474,,fern-leaf yarrow,Achillea filipendulina,,False,False,False,True,False,False,True,"[""Full sun""]",Minimum,Herbaceous Perennial,Low
475,475,,fern-leaf yarrow,Achillea filipendulina 'Altgold',,False,False,False,True,False,False,True,"[""full sun""]",Average,Herbaceous Perennial,Low
476,476,,fern-leaf yarrow,Achillea filipendulina 'Gold Coin Dwarf',,False,False,False,True,False,False,True,"[""full sun""]",Frequent,Herbaceous Perennial,Low
477,477,,fern-leaf yarrow,Achillea filipendulina 'Gold Plate',,False,False,False,True,False,True,True,"[""full sun""]",Frequent,Herbaceous Perennial,High
478,478,,fern-leaf yarrow,Achillea filipendulina 'Parker's Variety',,False,False,False,True,False,False,True,"[""full sun""]",Average,Herbaceous Perennial,Low
479,479,,yarrow,Achillea millefolium,,False,True,False,True,False,True,True,"[""full sun""]",Average,Herbaceous Perennial,Moderate
480,480,,yarrow,Achillea millefolium 'little moonshine',,False,False,False,True,False,True,True,"[""full sun""]",Average,Herbaceous Perennial,Moderate
