plant_disease_id,regular_url_image,thumbnail_image
88,https://perenual.com/storage/species_disease/88_erwinia_carotovora/regular/39935058221_6fde99b08e_b.jpg,https://perenual.com/storage/species_disease/88_erwinia_carotovora/thumbnail/39935058221_6fde99b08e_b.jpg
89,,
90,,
91,,
92,https://perenual.com/storage/species_disease/92_cercospora_carotae/regular/3024px-Spinach-_Cercospora_leaf_spot_-_2.jpg,https://perenual.com/storage/species_disease/92_cercospora_carotae/thumbnail/3024px-Spinach-_Cercospora_leaf_spot_-_2.jpg
93,https://perenual.com/storage/species_disease/93_erysiphe_heraclei/regular/2560px-Erysiphe_heraclei_a1_28229.jpg,https://perenual.com/storage/species_disease/93_erysiphe_heraclei/thumbnail/2560px-Erysiphe_heraclei_a1_28229.jpg
94,,
95,https://perenual.com/storage/species_disease/95_blumeriella_jaapii/regular/Blumeriella_jaapii_01.jpg,https://perenual.com/storage/species_disease/95_blumeriella_jaapii/thumbnail/Blumeriella_jaapii_01.jpg
96,https://perenual.com/storage/species_disease/96_trametes_hirsuta/regular/2560px-thumbnail.jpg,https://perenual.com/storage/species_disease/96_trametes_hirsuta/thumbnail/2560px-thumbnail.jpg
97,https://perenual.com/storage/species_disease/97_stereum_spp/regular/Hairy_Parchment_28206196478129.jpg,https://perenual.com/storage/species_disease/97_stereum_spp/thumbnail/Hairy_Parchment_28206196478129.jpg
98,https://perenual.com/storage/species_disease/98_podosphaera_clandestina/regular/14804678499_389825150e_b.jpg,https://perenual.com/storage/species_disease/98_podosphaera_clandestina/thumbnail/14804678499_389825150e_b.jpg
99,https://perenual.com/storage/species_disease/99_laetiporus_sulphureus/regular/Laetiporus_sulphureus_JPG01.jpg,https://perenual.com/storage/species_disease/99_laetiporus_sulphureus/thumbnail/Laetiporus_sulphureus_JPG01.jpg
100,https://perenual.com/storage/species_disease/100_verticillium_spp/regular/e113884e265236116e8cbf70d8c3aad8c1ed4594.jpg,https://perenual.com/storage/species_disease/100_verticillium_spp/thumbnail/e113884e265236116e8cbf70d8c3aad8c1ed4594.jpg
