general_plant_id,sunlight,watering,drought_tolerant,absolute_min_temp_c
944,"[""Full sun"", ""part shade""]",Average,False,-28.9
945,"[""Full sun""]",Minimum,True,-34.4
946,"[""Full sun""]",Minimum,False,-40.0
947,"[""full sun""]",Frequent,True,-34.4
948,"[""Full sun""]",Minimum,True,-34.4
949,"[""Full sun""]",Minimum,False,-34.4
950,"[""Full sun""]",Minimum,True,-34.4
951,"[""Full sun""]",Minimum,True,-34.4
952,"[""Full sun""]",Minimum,True,-23.3
953,"[""Full sun""]",Minimum,True,-23.3
954,"[""full sun""]",Average,True,-34.4
955,"[""Full sun"", ""part shade""]",Average,True,-40.0
956,"[""full sun""]",Average,True,-40.0
957,"[""full sun"", ""part shade"", ""full shade""]",Average,True,-34.4
958,"[""full sun"", ""part shade""]",Average,True,-34.4
959,"[""full sun"", ""part shade""]",Average,True,-40.0
960,"[""Sun"", "" Partial Shade""]",Frequent,True,-40.0
961,"[""Sun"", "" Partial Shade""]",Frequent,True,-40.0
962,"[""Sun"", "" Partial Shade""]",Frequent,True,-40.0
963,"[""Sun"", "" Partial Shade""]",Frequent,True,-40.0
964,"[""Sun"", ""Partial Shade""]",Frequent,False,-40.0
965,"[""Sun"", "" Partial Shade""]",Frequent,True,-40.0
966,"[""full sun"", ""part shade""]",Frequent,True,-40.0
967,"[""full sun""]",Average,False,-40.0
