plant_id,general_plant_id,threatened_plant_id,common_name,scientific_name,other_name,if_threatened,if_edible,if_indoors,if_medicinal,if_poisonous,if_fruits,if_flowers,sun_expose,watering,plant_cycle,growth_rate
228,228,,Threadleaf Falsecypress,Chamaecyparis pisifera 'Filifera',Japanese Falsecypress,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
229,229,,Red Star Whitecedar,Chamaecyparis thyoides 'Red Star',Whitecedar Falsecypress,False,False,False,False,False,True,True,"['Full sun', 'part shade']",Average,Every year,Low
230,230,,Chinese Fringetree,Chionanthus retusus,Fringe Tree,False,True,False,True,False,True,True,"['Full sun', 'part shade']",Average,Every year,Low
231,231,,White Fringetree,Chionanthus virginicus,Old Man's Beard,False,True,False,False,False,True,True,"['full sun', 'part shade']",Average,Once a year,Low
232,232,,Morning Cloud Chitalpa,Chitalpa 'Morning Cloud',,False,False,False,False,False,False,False,"['full sun', 'part shade']",Average,Every year,Low
233,233,,Pink Dawn Chitalpa,Chitalpa 'Pink Dawn',,False,False,False,False,False,False,False,"['full sun', 'part shade']",Average,Every year,High
234,234,,Harlequin Glorybower,Clerodendrum trichotomum,Clerodendron,False,False,False,True,False,True,True,"['full sun', 'part shade']",Average,Every year,High
235,235,,Torbay Dazzler Grass Palm,Cordyline australis 'Torbay Dazzler',Cabbage Palm,False,False,False,False,False,True,True,"['full sun', 'part shade']",Frequent,Every year,High
236,236,,Constellation Flowering Dogwood,Cornus 'Constellation',,False,False,False,False,False,False,False,"['full sun', 'part shade']",Frequent,Every year,Low
237,237,,Eddie's White Wonder Flowering Dogwood,Cornus 'Eddie's White Wonder',,False,False,False,False,False,True,True,"['Filtered shade', ' Full sun', ' Part sun/part shade']",Average,Every year,Moderate
238,238,,Aurora Flowering Dogwood,Cornus 'Rutban',,False,False,False,False,False,False,False,"['full sun', 'part shade']",Frequent,Every year,Low
239,239,,Celestial Flowering Dogwood,Cornus 'Rutdan',,False,False,False,False,False,False,False,"['full sun', 'part shade']",Frequent,Every year,Low
240,240,,Stellar Pink Flowering Dogwood,Cornus 'Stellar Pink',,False,False,False,False,False,False,False,"['full sun', 'part shade']",Average,Every year,Low
241,241,,Venus Flowering Dogwood,Cornus 'Venus',Hybrid Dogwood,False,False,False,False,False,False,False,"['full sun', 'part shade']",Average,Every year,Low
242,242,,Pagoda Dogwood,Cornus alternifolia,,False,False,False,True,False,True,True,"['full sun', 'part sun/part shade', 'part shade']",Average,Every year,High
243,243,,Variegated Pagoda Dogwood,Cornus alternifolia 'Argentea',,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Low
244,244,,Variegated Giant Dogwood,Cornus controversa 'Variegata',Wedding Cake Tree,False,False,False,False,False,True,True,"['full sun', 'part shade']",Frequent,Every year,High
245,245,,Cherokee Brave Flowering Dogwood,Cornus florida 'Cherokee Brave',,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
246,246,,Cherokee Chief Flowering Dogwood,Cornus florida 'Cherokee Chief',,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
247,247,,Cherokee Daybreak Flowering Dogwood,Cornus florida 'Cherokee Daybreak',,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
248,248,,Cherokee Princess Flowering Dogwood,Cornus florida 'Cherokee Princess',,False,False,False,False,False,True,True,"['Full sun', ' Part sun/part shade']",Average,Every year,Moderate
249,249,,Cherokee Sunset Flowering Dogwood,Cornus florida 'Cherokee Sunset',,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Moderate
250,250,,Red Flowering Dogwood,Cornus florida 'var. rubra',,False,False,False,False,False,True,True,"['Full sun', ' Part sun/part shade']",Average,Every year,Moderate
251,251,,Chinese Dogwood,Cornus kousa,Kousa Dogwood,False,False,False,False,False,True,True,"['Full sun', 'part shade']",Average,Every year,Low
252,252,,Blue Shadow Chinese Dogwood,Cornus kousa 'Blue Shadow',Kousa Dogwood,False,False,False,False,False,True,True,"['Full sun', 'part shade']",Average,Every year,Low
253,253,,China Girl Chinese Dogwood,Cornus kousa 'China Girl',Kousa Dogwood,False,False,False,False,False,True,True,"['part shade', 'part sun/part shade']",Frequent,Every year,Low
254,254,,Heart Throb Chinese Dogwood,Cornus kousa 'Heart Throb',Kousa Dogwood,False,False,False,False,False,True,True,"['Full sun', 'part shade']",Average,Every year,Low
255,255,,Milky Way Chinese Dogwood,Cornus kousa 'Milky Way',Kousa Dogwood,False,False,False,False,False,True,True,"['Full sun', 'part shade']",Average,Every year,Low
256,256,,National Chinese Dogwood,Cornus kousa 'National',Kousa Dogwood,False,False,False,False,False,True,True,"['Full sun', 'part shade']",Average,Every year,Low
257,257,,Samaritan Chinese Dogwood,Cornus kousa 'Samaritan',Kousa Dogwood,False,False,False,False,False,True,True,"['Full sun', 'part shade']",Average,Every year,Low
258,258,,Satomi Chinese Dogwood,Cornus kousa 'Satomi',Kousa Dogwood,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Low
259,259,,Starlight Chinese Dogwood,Cornus kousa 'Starlight',Kousa Dogwood,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Low
260,260,,Chinese Dogwood,Cornus kousa 'var. chinensis',Kousa Dogwood,False,True,False,False,False,True,True,"['part sun/part shade', 'part shade']",Average,Every year,Low
261,261,,Wolf Eyes Chinese Dogwood,Cornus kousa 'Wolf Eyes',Kousa Dogwood,False,False,False,False,False,True,True,"['Full sun', 'part shade']",Average,Every year,Low
262,262,,Cornelian Cherry Dogwood,Cornus mas,Cornelian cherry,False,True,False,True,False,True,True,"['full sun', 'part shade']",Average,Every year,Moderate
263,263,,Golden Cornelian Cherry Dogwood,Cornus mas 'Aurea',Cornelian cherry,False,False,False,False,False,True,True,"['Full sun', 'part shade']",Average,Every year,Moderate
264,264,,Variegated Cornelian Cherry Dogwood,Cornus mas 'Variegata',Cornelian cherry,False,True,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Moderate
265,265,,Paul's Scarlet English Hawthorn,Crataegus laevigata 'Paul's Scarlet',,False,False,False,True,False,True,True,['Full sun'],Frequent,Every year,High
266,266,,Japanese Cedar,Cryptomeria japonica,,False,False,False,False,False,False,True,"['Full sun', ' Part sun/part shade', ' Sheltered']",Average,Every year,Low
